,순위,영화명,매출액,관객수,스크린수,감독,등급,관람객평점,네티즌평점,장르,국적,개봉일,추천,10대 비율,20대 비율,30대 비율,40대 비율,50대 비율,남성 만족도,여성 만족도,Na
1636,17592.0,시월애,0,0,0,이현승,12세 관람가,관람객 평점 없음,9.29,드라마 멜로로맨스 판타지,한국, 20000909 개봉,이 영화는 20대 여성이 좋아하는 영상미가 뛰어난 영화입니다.,x,x,x,x,x,9.12,9.53,
1637,17622.0,아나키스트,0,0,0,유영식,청소년 관람불가,관람객 평점 없음,8.16,드라마 액션,한국, 20000429 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,8.01,8.86,
1638,17628.0,아름다운 세상을 위하여,0,0,0,미미 레더,12세 관람가,관람객 평점 없음,9.14,드라마 멜로로맨스,미국, 20010217 개봉,이 영화는 10대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,8.90,9.50,
1639,17630.0,아메리칸 뷰티,0,0,0,샘 멘데스,청소년 관람불가,관람객 평점 없음,9.01,드라마 코미디,미국, 20000226 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,9.02,9.07,
1640,17632.0,아메리칸 싸이코,0,0,0,메리 해론,청소년 관람불가,관람객 평점 없음,8.25,범죄 스릴러 드라마 공포,미국 캐나다, 20001125 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.20,8.49,
1641,17635.0,아멜리에,0,0,0,장 피에르 주네,15세 관람가,관람객 평점 8.33점,8.82,코미디 판타지 멜로로맨스,프랑스 독일,20120223 재개봉  20011019 개봉,이 영화는 20대 여성이 좋아하는 영상미가 뛰어난 영화입니다.,0%,100%,0%,0%,0%,8.51,9.14,
1642,17636.0,아모레스 페로스,0,0,0,알레한드로 곤잘레스 이냐리투,청소년 관람불가,관람객 평점 없음,8.73,드라마 스릴러,멕시코, 20011117 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,8.52,9.17,
1643,17641.0,아이 엠 샘,0,0,0,제시 넬슨,12세 관람가,관람객 평점 없음,9.33,드라마,미국, 20021018 개봉,이 영화는 10대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,9.29,9.42,
1644,17643.0,아이스 에이지,0,0,0,"크리스 웨지, 카를로스 살다나",전체 관람가,관람객 평점 없음,8.58,애니메이션 모험 가족 판타지 코미디,미국, 20020808 개봉,이 영화는 10대 남성이 좋아하는 연출이 뛰어난 영화입니다.,x,x,x,x,x,8.27,9.15,
1645,17668.0,어바웃 어 보이,0,0,0,"크리스 웨이츠, 폴 웨이츠",12세 관람가,관람객 평점 없음,8.79,코미디 드라마,영국 미국, 20020823 개봉,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,8.55,9.08,
1646,17675.0,언페이스풀,0,0,0,애드리안 라인,청소년 관람불가,관람객 평점 없음,8.5,드라마 멜로로맨스 스릴러,미국 독일 프랑스, 20020822 개봉,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.23,8.98,
1647,17679.0,에너미 라인스,0,0,0,존 무어,12세 관람가,관람객 평점 없음,8.3,전쟁 액션,미국, 20020118 개봉,이 영화는 10대 남성이 좋아하는 연출이 뛰어난 영화입니다.,x,x,x,x,x,8.21,8.91,
1648,17680.0,에너미 앳 더 게이트,0,0,0,장 자크 아노,15세 관람가,관람객 평점 없음,9.03,전쟁 드라마 스릴러 액션,미국 독일 영국 아일랜드, 20010519 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,9.04,9.06,
