영화명,평점리뷰
헤어스프레이,"평점이 왜 이럼?;;; 난 보면서 노래도좋고 내용도너무밝아서재밌었는데ㅋㅋ 뮤지컬 좋아하시는분들은 이영화보면 실제뮤지컬로도 보고싶다는생각 무조건 하실겁니다 한번쯤보는건 정말나쁘지않아요~영화를 보는 순간마다 눈이 안떨어지더군요이런 생각이 들어요 체널돌리다가 우연히 본영화인데 엉덩이를 못 때는 그런 영화에요팀 재미있게 봤구요 언제 다시한번 또 보고싶네요 다음에 이런 작품이 나오려는지 모르겠네요흥행 F...이야기도 재밌고, 노래도 재미있다. 웃음을 주는 코미디 뮤지컬 영화제 생에 최고의 뮤지컬영화처음엔 그냥 다른 하이틴 영화처럼 뻔한스토리일줄 알았지만, 나와는 조금 다른 남을 이상함이 아닌 그사람의 아름다움으로 승화시킨 영화 정말 말이필요없습니다 너무 재미있게봤어요 음악도좋고 무엇보다 내용이 참 생각하게 하...노래도 넘 좋고 언제봐도 질리지않는 영화. 짱재밌다생각보다 점수가 낮네. ost도 좋고 무엇보다 이 영화에서 훈남 훈녀들이 많이 나온다는점? 아마 여성들이 좋아할듯.. 영화도 재미있음~ 뮤지컬 영화를 좋아하는 나인지라 재미있게 봤음. ost 소장해도 괜찮을듯 싶네요...좋은 영화~ :)노래와춤이흥겨워서보는내내흥겹고재미잇엇다존 트라볼타, 크리스토퍼 월켄, 미셜 파이퍼까지,심각한 표정만 짓던 중견 배우들을 유쾌한 춤과 노래의 한판에 끌어들였네요.존 트라볼타를 제대로 살린듯.10년이 넘은 영화지만 이제라도 보게되어 다행."
김종욱 찾기,난 공유가 좋고 이런 스토리가 좋다로맨틱코미디를 좋아하지 않는 제가 김종욱 찾기는 몇번을 봤네요 재미있고 따뜻하고..너무 좋아요인연을 붙잡아야 운명이 되는거지사랑이 하고 싶은 영화.. 공유넘 매력있어..기분좋고 달달한영화ㅎㅎㅎ♥ 세번봤는데 안질리네ㅋㅋ이걸이제봤다니.. 공유너무귀여워 ㅠㅠ 되게달달하네요 정말.. 설렘터짐아주강렬한 인상을 받진 않았지만 중간중간 톡톡터지는 깨알재미와함께 영화도 잔잔하고 예쁘게흘러간것같다.내 생각에 지우가 끝까지 갈 용기가 생긴건 기준의 존재도 한몫한 것 같음! 꼭 운명적만남이 아니어도 호감이생긴다는 ...뮤지컬도 좋구 영화도 좋다^^ 뮤지컬 안 본 사람은 뮤지컬도 강추<3공유ㅠㅠㅠ정말설레게하네요공유는로맨스를해야함 ㅎㅎㅎㅎㅎ
무인 곽원갑,아! 영화참괜찬네요..사람다움을보여주네요..넘늦게깨달아서 귀중한걸 다 잃었지만 우리에게주는교휸이 다시금 생각하게해주네요..감동입니다..이연걸의 액션만으로도 충분히 좋다역시 이연걸은 이런무협이 어울린다. CG는 집어쳐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이연걸의 무술이 너무 멋져서 또보고싶다 ㅠㅠ내인생최고의뜻깊은영화....정무문의 서막이연걸의 무술영화 중 최고가 아닌가 싶다.재미와 감동 둘 다 준 영화좀 잔인한 장면도 있는데 역시 이연걸!! 액션진짜 완벽잼씀 최고의영화
겟 아웃,"크리스가 2층으로 올라갈때 떠들썩하던 1층사람들 갑자기 조용해질때 소름 이장면이 제일 무서웠음마지막에 경찰차가 오자 자연스럽게 두손을 드는 주인공의 모습이 슬펐음 차별을 당연시 여기는 느낌이라..와, 초반에 여친이 흑인남친 면허증 안보여 주려고 했던거 설계였네 경찰한테 꼬리 잡힐까봐,, 백인경찰이 편견으로 흑인 검문 때리는 줄 알았는데 지리네 설계경찰차가 왔을때 모두 다 긴장했을듯 ㅋ근데 여자애는 그렇게 중요한 사진을 그리 대충 보관하냐다시는 커피 못저어먹는 영화영화에서 그인간들 ㅋ. 왜그렇게 주인공이 담배를 못피게 하는지 나중에 생각해 보면 참 ㅋ 무섭다 ㅋ관람객 반전잼 !! 음악도 좋았고 영화에 나오는 뚱띠 흑인친구 겁나웃김ㅋㅋㅋ한편으로는 흑인이라는 이유로 차별을 받고 한편으로는 그들의 신체적 우월함을 동경하는 아이러니함 코미디중의 코미디 신선했다솜뭉치 하드캐리..."
폭력의 법칙: 나쁜 피 두 번째 이야기,가해자들의 사회적 가정적 배경이 면죄부가 되어서는 안된다...와 진짜 통쾌한 복수극 제대로 봤습니다 특히 여배우님 여울? 진짜 고생 많이 하신듯 하네요 다들 한번씩 보시길갈데까지 간 영화지만 15년간 트라우마에 시달리던 저에게는 마음의 위로가 되는 영화였습니다*^^* gv끝나고서야 눈물을 꾹 참고 너무 좋은 영화라고 말씀드릴 용기가 났어요~ 의미가 큰 영화입니다!통쾌하다. 어릴때 왕따시키고 괴롭힌 새끼들은 혹시나 이런상황 생기면 그냥 죤나 미안하고 잘못했다고해라.이게 왜 속편으로 나왔을까~ 암튼 배우들도 다 연기잘했고 쓸데없는 노출이 아니라 빠져들만한 요소의 노출이라 좋았고 진짜 유명배우에 헛돈안쓰고 잘찍은 웰메이드다 이건 평점이라도 10점찍어야겠다.내가 귀하듯 남도 귀하다는 것.. 우리 모두 누군가의 사랑하는 가족이라는 것...김영무 배우님의 서글픈 눈빛 연기가 기억에 남아요!잘못을 뉘우치지못하는 범죄자들이 봐야할영화진짜 속이다 후련하다. 기타 싸구려 영화의 용서 코드는 개나 줘버려.진짜 기대안하고봣습니다 사실 잘모르는배우들이많기도하고 볼까말까하다 봣는데 정말영화같은영화를봣네요 배우분들 연기력어마어마합니다 진짜소름돋앗고 처음부터끝까지 몰입하면서 땀쥐며봣어요 마지막반전은 상상도못햇엇고 감독님이나 ...
"안녕, 형아","형한테 푸른눈의백룡 줄때가 ...제가 제일 좋아하는 영화 1위에요 ㅠ 이거보고 감동적이여서 울었고 박지빈님 너무 연기잘하셔요저 초딩때 봤는데 진짜 슬퍼서 울었어요! 요즘에 나왔으면 9점 넘었음! 천만명 넘었을거예요진짜진심아 박지빈 연기 잘한다 진짜 슬퍼욱아 ㅠㅠ 넘 슬프당 ㅠㅠ어렸을 때 처음으로 접해본 새드영화. 존나 쳐울면서 새드의 맛을 알게 됐다. 내 몸에 눈물이 이렇게 많았나 알게 된 영화, 내 감수성이 이렇게 풍부한지 알게 한 영화울 뻔..ㅠㅠ 전 옥동자 부분이 제일 좋았어요. 작은 꼬마가 간절히 얻어낸 기적..왜 저는 욱이가 코피를 아무렇지도 않게 닦는 장면이 자꾸 떠오를까요...ㅠㅠ 가서 대신 닦아주고, 안아주고 싶었다는정말 감명깊고 여운이 많이 남는 영화였다.이거보면서 펑펑 울게 됬다.지빈이가 너무 귀여워서 채널돌리는 중 고정 연기너무 잘하고 너무슬퍼서 눈물이 주룩주룩 정말 최고다♥"
덩케르크,"이걸 한국에서 만들었다면 이분법적인 시각과 함께 신파로 가득했을 겁니다. 그리고 분명 이 대사도 나왔겠죠. ""돌아가면 ~~ 할겁니다.""한 시간 반 동안 덩케르크에 있었다.관람객 시간이 일방적으로 흐르지도 않았던것같고 딱 놀란감독의 영화. 전쟁사에 대한 내용이 아니라 인간의 감정에 대한 영화였던것 같다. 러닝타임 내내 몰입을 할 수 있었다.인셉션 《꿈속에서의 탈출》 다크나이트 《범죄도시 에서의 탈출 》 인터스텔라 《우주에서의 탈출》 덩케르크 《해변가에서의 탈출》적군 한번 보여주지않고 이렇게 만들다니... 엄청나다.관람객 감독 이름을 봐라. 그 이름은 실망을 시킨적이 없다.시사회 보고 글남겨요. 기존 전쟁 영화와 다르게 영웅도 없고, 총격전도 없고, 화려한 액션도 없지만 그들의 처절한 생존 드라마만으로도 기성 전쟁영화보다 뛰어나다.관람객 이 영화는 덩케르크를 보는 것이 아니라 덩케르크로 가는 것이다군함도가 불쌍할뿐..개인적으로 다크나이트 이후 최고의 역작. 기존 전쟁영화와 다르게 접근해서 좋았다."
프로스트 VS 닉슨,"대화기법에 감탄이 절로나온다긴장감이 영화내내 이어지는구만...드라마라 지루할 줄 알았는데 훌륭한 연출 덕분에 재밌게 봤다. 닉슨에 대해 잘 모르지만 그가 어떤 사람인지를 알게해주는 영화. 그리고 워터""게이트""는 희대의 유행어가 되었다피튀기며 손에 땀을 쥐게하는 입배틀닉슨의 한마디 한마디 동공의 미세한떨림 그의 치가떨리는 연기 이 모든건을 함축적으로 영화로 담아 프로스트와대결했을때의 상황은 정말 손에 땀을 쥐게하였다. 마지막 그의 눈빛이 앤딩BGM이 흐르는 지금이 시점에도 내 심...정적인 인터뷰에 긴장을 유지하는 놀라움.프랭크 란젤라 연기 지렸다.... 끝내 인정하는 처절한 모습 왠지 가슴아프다.정치인을 얕보지 말라. 그 시대가 뽑은 자기 합리화의 1인자이니까마지막 역전을 보지 않고 입담을 논하지 말것.많은 사람들이 알고 있는 사건을 흥미롭게 만든 편집의 힘"
비밀,이런 소재를 대체 어떻게 생각했을까?상심한 아빠는 심야식당을 열게 되는데...쩔음. 히로스에료코 ㅈㄴ 이쁨결국 불쌍하게 된 건 홀아비된 아버지와 죽은 딸 뿐이군매너를위해서 결말은스포안하겠다만 엄마가한일은좀소름돋기도하다 그래도 현실에서일어날수없는소재이니만큼결말이가장 현실적일수도있겠다싶었다원작은안읽어봐서모르지만 영화자체는재밌었다 갈등도 충분히 잘표현된듯싶은데 아무튼 좋았다영화보는 내내 뭐저럼 엄마가 다있나 싶었던 지금껏 이기적인마음을 엄마라는 틀석에 숨기고있었나 이런생각도 들고 여튼딸이 불씽하고 남편도 불쌍어찌 영화볼줄이렇게도 모르는가...마누라가 딸아이의 몸속으로들어가서 남편과다시잘해볼려고 햇지만 어쩔수없는현실에 포기하고 맘아프지만 나중에 딸인척 연기하는모습은 가슴에 않와닫는가? 그리고 결혼식 마지막까지 결혼반지를 ...사악하고 졸렬하기 짝이없는 나오코. 안타깝게 이용당한 모나미. 사기당한 헤이짱만화적 상상력. 하지만 그것을 묘하게 설득시키는(?) 히로스에 료코라는 만화적 여배우. 그녀가 가장 반짝반짝일때 그즈음에 기획된 소박한 판타지.딸 몸에들어가서는 얼굴가리고하면될거라니 참~ㅋㅋ모성애도없어보이고..사악해보였다
씬 시티,레전드급 영상미와 캐릭터들.일단 영상미가 완벽해서 7점은 먹고들어가는데다 순정마초 아저씨들께서도 꽤나 마음을 울려 주신다.정말 이렇게 독특한 영화는 첨 보는듯..근데 이거 영화관에서 본 사람들은 엔딩크레딧 넘기지도 못하고 고통스러웟을 듯 ㄷㄷ재밌다처음엔 낸시와 하티건 이야기가 제일 남더니... 이젠 골디와 마브 이야기가 제일 여운이 오래감..굳내가 영화를 본건지 영화가 나를 본건지..검은 종이에 하얀 먹을 휘두르는 느낌.당시에 없었던 선세이션한 영상은 인정해야 한다옴니버스식영화 영상미로 절반을 먹고들어가고 막장끼 스토리와 시원시원한 살육이 맘에든다
