영화명,평점리뷰
엘프,"여자 주인공에게 뿅감이게 유치하다고 하는 사람들은 도대체 뭔가. 아마 동심을 잃어버린 것이겠지.. 한번만 어릴적을 뒤돌아보길... 아..감동..50대 변태아저씨가 엘프라고 억지 주장하는 영화가 이렇게 재밌기는 처음이네요 ㅎㅎ주이 디샤넬 여기서 첨 봤다디샤넬 너무 예쁘다 ㅠㅠ처음부터 끝까지 엄청 웃었네요~개그코드가완전내스타일이었고 엘프아찌가하는짓이 넘 귀여웠어요ㅋㅋㅋ강추!영화도재밌지만 여배우가너무예쁘다 !연기를 매우 잘하네요 맘이따뜻해지는영화, 보길참잘했어요^^!! 강추티비에서 해줬음 좋겠다영화 넘잼남 웃기고 감동까지 여주인공 주이 디샤넬 예뻐서OO"
노바디,관람객 지루한일상반복 날려주는 사이다액션관람객 지루한 일상.. 하필 코로나 까지.. 색다른 일 없을까.... 노바디보며 대리만족 제대로 했네요!차라리... 존윅한테 죽는게 나을지도...관람객 정말 코로나 이후로 간만에 액션 좋고 개그코드 빵빵 터지는 영화를 보고 왔습니다관람객 오늘 아침에 보고왔습니다 기대한것이상으로 재밌내요존윅처럼 시리즈로 나오기를 고대합니다관람객 역시 믿고보는 밥 오덴커크!존윅에 베이비드라이버 합쳐진 느낌임ㅋㅋ 개통쾌함ㅋㅋㅋ관람객 최고의 킬링타임영화잼있다 한마디면 끝관람객 나보다 더 도라이를 건드린 도라이의 최후관람객 오랜만에 너무나 시원시원한 영화를 본 것 같아요!! 답답한 속이 시원하게 뚫리는 기분!! 오랜만에 강추하는 액션영화입니다!!
"색, 계",난 이영화 진짜 슬프게 봤는데...양조위 눈빛..특히 마지막사형시간을 알리는 종소리를 듣던 흔들리는눈빛...마지막 처형장에서 탕웨이의 슬픈웃음...여자가 사실 바라는건 애국도 다이아몬드도 아닌 그냥...사랑받는느낌 ...왜 몸을섞는 장면에만 열광하는가. 그와 180도 대비되는 절제된 감정 표현이 아름답다어긋난 애국심 속의 어긋난 사랑. 애국이라는 말 앞에 자신들의 욕심만을 내세우며 어떻게든 자신들이 유리한 쪽으로 사람을 이용하는 애국단체. 그 속에 이용만 당하는 순진한 여성이 결국 자신의 연기가 사랑이 되어 있음을...사랑에 목마른 한여인의 순수한 이야기...질식할뻔했다..;;;인생은 연극이고 연극위의 사랑이 진짜 사랑이네그녀는 색계로 그를 유혹하려했으나 정작 색계로 유혹당한건 그녀 자신.. 일본술집에서 애틋하고 매력적으로 중국전통식 노래를 불러주는 탕웨이의 모습이 정말 기억에남는다.먹먹하고 가슴아팠던 영화... 아직도 ost 들으면 그 둘의 조심스럽고 은밀한 사랑이 안타깝게만 느껴지네요...ㅠㅠㅠ언제봐도질리지않는영화..야동생각하시는사람은야동보시길캐릭터의 다양한 감정을 너무나도 잘 살린 영화. 탕웨이 정말 매력있고 여운있는 결말도 굿~항상 tv에서 해줬는대 중간부터 봤다가 오늘에서야 제대로 처음부터 봤다..비극적 결말 .. 이의 눈빛은 잊을수가 없다 왕치아츠 가 약을안먹은 이유가 이가 지켜준단 말 때문에 아닐까..
시카리오: 데이 오브 솔다도,"이런게 영화지 알바쓰레기들 독전이나봐라속편이라기 보다는 또 하나의 시카리오를 본 느낌..감독은 시카리오라는 영화의 정체성을 잃지 않으면서 오히려 이 영화의 스펙트럼을 확장시켰다! 긴장을 만드는 연출이나 캐릭터를 풀어가는 방식 모두 전작과 다른듯 매력적인...명작 수준 어디 안 갔네 2시간 내내 멱살 잡혀 끌려다니는 느낌이런게 영화입니다~뭔가 그나라에 잠깐갓다온 느낌이 진지하고 차갑고 날카로움을 느끼려고 혼자 극장을 찾은 분들에게 존나 멋진 분들이라고 말을 해드리고싶다. 해외로 돈나가는걸 막으려고 국산 쓰레기로 이무리 막아놓아도 언젠가 이처럼 좋은 작품을 이길수 없는 때가 반...예고편은 람보인데, 역시 쉐리던은 쉐리던이다. 살다살다 영화감독이 아닌 각본가의 팬이 될줄이야..영화 초반에 우리나라가 예맨 난민을 받으면 안되는이유를 보여주고있음 그리고 1편처럼 노래 대화등 아무소리도없이 쪼여오는맛은 확실히 덜함 그래도 재미있었음 3편이 너무 궁금하게 끝나자나 ㅠㅠ1편이랑은 성격이 좀 많이 다르지만 재밌게 봤어요 ㅎㅎ이런 영화가 보고 싶었다... 미국의 어두운 측면과 멕시코 카르텔을 생생하게 반영한 영화영화 좋더라. 잔인한데 갈증이 싹 가신다.맷이나 알레한드로가 필요악이었던 거야.작년에 EBS인가 어디서 1편을 봤는데이제보니 화면이 커야 잘 감상할수 있네! 한국이 이 영화 따라잡으려면 참.. 들인 돈이 얼마나 될까..."
더 문,"기업은 노동자를 소모품처럼 착취하고, 노동자는 그것을 깨닫지 못한다. 인간적이었던 것은 기업의 대표자들이 아니라 오히려 로봇이었다.난 거티를 갖고싶다.던칸존스는 정말 천재인것같다,(아버지가 데이빗보위였구나) 어두운달과 샘만 등장시켜 이렇게 완성도높은 SF를 만들다니 놀랍다, 샘락웰의 연기도 훌륭했고, 케빈스페이시는 목소리만 나와도 존재감있네, '사랑'...더문 보고 오블리비언보니까 수준을 알겠다~~~ 진짜 감정이 철저히 드러남..주인공이 그냥 너무 불쌍하다여자환영 의미는 몹니까돈 안들인 영화는 맞지만. 잘짜여진 스토리와 생각할게 있는 수준있는 영화다..그들은 비록 진짜가 아닐지언정 물건은 아니다. 가족에 대한 사무치는 그리움과 사랑으로 고독에 맞서 싸운 한 가정의 가장이었다. 하지만 자본은 그들을 쓰다버리는 소모품 그 이상 그 이하로 보지도 않는다. 많은 생각에 ...'한정된 공간안에서 스릴과 감동 둘다 선사하는 던칸 존스'다 좋았지만 결말에서 어떻게 되었는지 좀더 보여줬으면 하는 바램!!"
어톤먼트,"진짜 브라이오니는 희대의 나쁜년임..ㅡㅡ결국 브라이니는 ""겁이 나서"" 실제로 피해자들을 찾아가서 잘못을 빌지도 않았고, 죽기 직전이 되어서야 책을 씀으로써 자기 죄책감을 털어냈다. 소설을 20권이나 쓰고 자기 인생을 다 살다가 죽을병에 걸...제임스 맥어보이 눈빛이 아직까지 안잊혀짐그들로부터 속죄 받은 게 아니라 스스로를 속죄한 것이다.아 화난다. 속죄는무슨...둘째패주고싶음브라이오니의 관점에서 시작되어 브라이오니의 참회로 끝나는 설정이 주제의 몰입도를 높인다. 브라이오니의 오해로 시작된 비극이지만 2차세계대전과 극대화 시킴으로 두 사람의 비극이 전쟁의 비극과 연결된다. 이 속에서 주...브라이오니 가만안둬영화 자체는 좋았지만, 배급사의 홍보가 포커스가 맞지 않았던 것 같다. 제대로 영화를 홍보하고자 했다면, '영원한 사랑의 약속' 이라는 캐치프레이즈는 쓰지 않아야 했다.실화가 아니라서 정말 다행이라고 생각함ㅎ 다 보고나면 공허한 마음이 드는데 싫지 않은 공허함이라고 해야하나..한번쯤 영화보고나서 느끼고 싶은 감정임말조심하자. 한마디의 말이 사람일생 여럿 망친다."
슬럼독 밀리어네어,"우리나라에 많이 돌아다니는 자막 보면 맨 마지막에 it is written 을 '소설이라서' 라고 발로 번역해놨는데 그게 아니라 '운명이라서'임. 영화의 핵심이 되는 문장이니깐 발번역에...정말 잘 만든 영화. 자말의 삶이 녹아든 아름다운 영화. 정말 최고라는 말 밖에!인위적이지 않고 자연스러운 연출로 벅찬 감동을 자아내다.D: It is written빈민가에서 성장한 한 아이의 성공보다 아직도 절망적의 나락에서 벗어나지 못했을 세계 어린이들 때문에 가슴이 저려온다.정말심장이두근거리는최고의영화다감독이천재라고생각한다이런 영화를 찾으려고~ 수없는 영화를 보지요.그냥 간단하게 내생에 최고의 영화중에 하나.평범하기 그지 없는 한인간의 삶을 이렇게 인상깊게 표현한 영화는 없을거다.잘 만든 헐리웃 영화의 표본이다. 3원적 구성으로, 인도의 종교분쟁, 인신매매, 범죄 같은 어두운 면을 잘 보여주고 있다."
원피스 필름 골드,관람객 이건 자막으로 봐야한다. 왜냐하면 '기모찌' 때문이다.관람객 조로 사자의노래때 지릴뻔관람객 으아아~~기모띠~/개인적인 전율장면 1. 초반현상금소개 2. 사보등장씬(히켄) 3. 루피의 여자둘구출장면 4. 조로두건쓰는장면 5. 조로기술씬 6. 루피기어4 7. 루피해적단 초반양학장면말이 필요없다 극장판중에서 탑급이다.... 지려버렸다..이번에 필름골드를 보면 책과 달력을 준다길래 냉큼 예매하려CGV를 켰지만 이미 ALL 매진... 근데 대구에 자리가 비었길래 경기 성남쪽 사는데 대구까지 KTX타고 당일치기로 갔다옵니다. 그만큼 기대되는 필름 골드 ...루피 마지막 액션씬에서 나미랑 카미나 들어업고 로빈 부르는 장면 만으로도 탈탈 탈 ㅣ딸ㅈ딸 탈 털리고 만족하고 탈딸탈 이다관람객 기대를많이하고갔는데요 상상그이상임 기대했던거보다 내용도탄탄하고 시간가는지모르고봤음 엄청재밌어요자막버전으로봣는데 더빙으로한번더볼꺼임 ㅋㅋ관람객 화려한 영상미가 좋았습니다관람객 원피스 팬으로써 특전 너무 마음에 들어요
크리드 2,"록키시리즌데 국내 상영관 수 실화냐 ㅜㅜㅜ이렇게 잘 만든 영화를 수입해놓고, 상영시각배정을 아침아니면 새벽1시에 의도적으로 배정해놓는 배급사들! 크리드의 주먹에 혼좀나봐야됨!! 사바하같은 싸이코영화는 30분간격으로 상영되는 현실...록키팬이라면 무조건 봐야함관람객 록키 시리즈가 계속 이어져서 기쁠따르복싱경기 장면 진심 최고 ㅋㅋㅋ아버지가 없는 아들과 아들을 못 만나는 아버지가 힘을 모아서 러시아의 분노로 불타는 父子를 상대한다. 크리드보다 드라고의 이야기, 마지막에는 드라고 부자도 어깨를 나란히 하고 함께 뛰어간다. 이 영화는 여전히 묵직...진짜 록키시리즈 팬이라면 꼭보는걸 추천 크리드와 드라고의 대결장면에서 록키 전통 OST 'Gonna Fly' 나왓을때 소름이 확돋앗다 진짜 상영관수가 적어서 아쉽지만 올해 제일 재밌게 본영화같다.언제나 뻔한 스토리지만 그 뻔한 스토리를 보며 결국 전율은 느낀다는게 신기하다드라고 정말 고생했어ㅠㅠ너의 이름은 뭐지? 크리드!!!!"
사랑보다 아름다운 유혹,"라이언필립 이땐 정말 훈남이였네요 ㅠㅠ 이떄의 필립을 돌려다오 ㅠㅠ ㅋㅋ영화 괜찮았는데 결말이 개똥맛ㅡㅡ라이언필립 진짜 매력있네..좀 막장이긴한데 볼만하고 결말이 꼭 이렇게 끝나지않아도 됬을텐데...굳이 이렇게 끝냈어야 하나 라는 의문이 생긴다.저당시 라이언필립과 사라미쉘겔러의 인기는 대단했다..리즈는 당시 신인급..세배우들의 비주얼과 연기력,구성등 청춘영화 치고는 꽤 짜임새가 있는 수작인작품,,난 왜 아넷에게 전혀 매력을 못느끼겟지?ㅋㅋ 도대체 뭐 땜에 라이언필립이끌렷는지 ㅋㅋㅋ 별특별한 매력이없는데.. 미스캐스팅보단 캐릭터가 걍 무매력임. 라인언필립은 진짜 매력적이게 연기잘하네.. 잘생긴얼굴도 한몫하고....개연성, 짜임새를 떠나 그냥 너무나 매력적인 영화. 몇 번을 봐도 질리지 않는다.그러고 그냥 죽었다고? ㅋㅋㅋ라이언 필립의 절정이 담긴 것만으로도음악이 가장 좋았다. 나머지는 라이언 필립과 사라 미셀 겔러 보는 재미별로 크게 다친것같지도 않던데 알러뷰도 또박또박잘하길래 며칠입원하고 끝날줄알았는데 장례식하네 깜놀.."
