영화명,평점리뷰
반지의 제왕: 왕의 귀환,내가 극장에서 이 영화를 봣다는게 너무 자랑스럽고 감동적입니다현존하는 최고의 판타지영화... 퀄리티가 절대 애들용이 아님왜 이영화를이제서야봤는지ㅠㅠ 일편부터연달아보는데 재밌다가도 시간가는게너무안타까웠음ㅠㅠ 해리포터가짱이라면서반지의제왕깠는데 해리포터보다 훨씬명작인것같다 OO이지나도cg전혀안촌스럽고 가슴벅차올라서 요며칠간진짜행복했습니다ㅠ...몇년이 지난 영화인데도 소름돋는영화.반지의제왕 안본사람은 있어도한번본 사람은 없다는게 사실인가요ㅅㅂ 이거 안보고 판타지 논하지 마라. 이거 뛰어넘을 판타지 절대 없을거다. 해리포터 트와일라잇도 이거 앞에선 애들 장난일뿐이런영화는 다신보자못할것같다한때 반지시리즈와 해리포터를 놓고 판타지영화계의 양대산맥 어쩌고 비교하는 멍청이들이 있었지. 반지는 영화계역사에 한 획을 그은 작품이고 해리포터는 그냥 재밌는 영화일 뿐이다..3D재개봉은 이런 영화에 하라고 있는것이다.정말 대작 와~근데 이게 10년전영화임
히든 피겨스,"상영관 독점 심하네요 이런 취급받을 영화가 아닌데ㅋㅋ상영관 좀 늘려주세요오랜마에 정말 제대로된 영화 봤네요, 편집, 연출, 스토리 어디하나 빠질게 없네요 강추합니다.올해 외화 중 최고 영화.인종차별과 남녀차별을 극복하고성장해가는 최고의 휴먼 드라마관람객 단호박 먹이는 언니들 덕분에 내 맘도 세상시원ㅋㅋㅋ 유쾌하게 풀어내서 정말 좋았던, 주변에 모두 추천하고 싶은 최고의 영화!끝날 때 다 같이 박수 좀 칩시다 짝짝짝극중 알 해리스가 했던 말이 기억에 남습니다.'나사의 모든 직원들은 노란 소변을 본다' 이 대사 성별,인종,나이,직군에 상관 없이 모두 평등하다는 의미를 부여할수 있다니 말이죠!관람객 진짜 단연코 올해 본 영화중에 최고... 정말 강추합니다. 근래에 이런영화들은 보기 드물었는데, 보는 내내 가슴속에서 무언가가 꿈틀거림을 느낌!! '좋은 영화'라는말은 이럴때 쓰는거 같아요.관람객 편견, 차별없는 사회를 꿈꾸며관람객 입소문 제대로 날 영화 꼭 보세요! 차별과 편견이 얼마나 쓸데 없는 건지!! 액션도 아닌데 통쾌했음같은 여성으로써 자랑스럽고 감격스런 영화~ 인종,여성 차별에도 불구하고 캐서린,도로시,메리 모두 위대하고 존경받을만한 인물이다..배우들 연기도 최고~"
죽은 시인의 사회,오 캡틴 마이 캡틴닐은 왜 아무말도 하지 않았을까내 인생은 둘로 나뉜다. 죽은시인의 사회를 보기전과 그 후로....감동과 눈물..꼭보시길....마지막 장면은 매번 감동ㅠㅠㅠㅠㅠㅠㅠ80년대 영화지만 어쩌면 지금 이 시대 사람들에게 더 필요한 영화일지도 모른다. 엔딩씬 연출은 이 영화를 명작으로 탄생시켰다.좋은 영화가 무엇인지 보여주는 영화.우리나라의 강남을비롯 자식들을 혹독하게 가르치는 부모들에게 보여주고싶은 영화인터스텔라 보고 우리 문과는 뭘할수 있는거지 하다가 10년 만에 이 영화 보니 아 !이 영화에서 주는 감동은 한국영화와 격이 틀리다.처음 본 후로 10년이 훌쩍 넘어서 다시 봤는데 역시 이 영화는 위대하다. 지금도 존경하는 인물을 이야기하라고 하면 실존 인물은 아니어도 키팅 선생님이라도 답한다... 더불어 에단 호크의 소년시절은 언제 봐도 아름답...
알라딘,윌 스미스가 하드캐리하여 의도치 않게 원작을 뛰어넘은 실사영화영화가 너무 아름답다..ost도 잊혀지지 안고 디즈니 실사중에서 최고중에 최고다 쟈스민 너무 멋지고 팬 엄청나게 생길듯 웃다가 울다가 너무 좋았음존잼임... 난 처음 도입부에 아~라~비안 나~잇 이 부분에서부터 감동받아서 울 뻔했음...관람객 자스민의 speechless 명장면이고 덤으로 윌 스미스의 연기력 또한 매우 굿~~A whole new world 나올때 개소름...자스민 존나 이쁘다..지니가 나오면.. 이세상 흥이 아니다ㅎ일요일 아침 8시 디즈니 만화동산 챙겨보고 비디오 알라딘 애니도 수십번 빌려봐서 테이프 늘어났었는데 ㅎㅎ클린액으로 비디오 헤드 청소해보신분 손!디즈니가 미쳤음.. 영화시장을 통재로 잡아먹으려고 작정을함..끝내주는 영화 이제껏 디즈니실사중 최고였음제일 우려스러웠던 윌스미스가 하드캐리하는바람에 원작 뛰어넘어버림 ㅋㅋㅋ
어벤져스: 엔드게임,마블 3000만큼 사랑합니다Avengers Assemble!I'm Ironman.관람객 아이언맨으로 시작해서 아이언맨으로 끝난다..아스가디언즈 오브 갤럭시 벌써부터 기대됨 ㅋㅋㅋㅋ히어로물보고 울줄 누가알겠습니까인피니티워가 10년을 무너뜨리는 영화라면엔드게임은 10년을 돌아보는 영화입니다쥐가다살렸음 ㅋㅋㅋㅋ관람객 마지막 한타에서 쌌습니다10점 안주는 사람들은 마블에 6에서900까지밖에 애정이 없는거 ...
레옹,"숙녀같은 아이 마틸다, 아이같은 킬러 레옹 , 킬러 같은 경찰 스텐스의 3중주원빈주연의 아저씨가 많이 따라한 영화그러나 레옹의 감동을 따라오진 못한다난 안 죽어. 네 덕에 삶이 뭔지도 알게됐어. 나도 행복해지고 싶어. 잠도 자고, 뿌리도 내릴 거야. 절대 네가 다시 혼자가 되는 일은 없을거야.마지막 Shape Of the Heart가 나올때의 그 전율과 소름... 잊을 수 없다.걸작영화 스토리부터 _ 음악 _ 배우 어느 하나도 흠잡을때 없는 명작중에 명작 비평가들도 비평을 할수 없게 만든 영화 다시 봐도 좋은영화와 역시 명작이다. 레옹의 특유표정이 넘좋음ㅜㅜ마틸다가 화분에서 옮겨심을때 노래가쫙깔리는데..진짜명곡임ㅜㅜㅜㅜㅜㅜㅜㅜ이 영화를 본 후 암이 나았습니다언제나 최고엔딩의 Shape of my heart는 레옹 그 자체였다. 매력적인 마틸다 사랑스러운 마틸다."
쉰들러 리스트,"서프라이즈 새끼들 ㅉㅉㅉ 소재가 떨어졌으면 좀 폐지할것이지 쉰들러를 악덕 고용주로 표현한것도 모잘라서 돈을 벌기위해 유대인들을 살려냈다? 돈을 번게 아니라 그는 전재산을 털어서 1천 1백명의 유대인들을 살려냈다마지막 남은 재산을 팔지 않은것을 후회하는 장면에서 눈물이 흘렀다. 그는 좋은차 예쁜여자 넓은집을 사랑하는 보통남자였다.자신이 성인이 아니라 보통사람일수 밖에 없었던 점을 자책하며 눈물을 흘리는 장면이 너무 슬펐다...내인생최고의 영화5손가락안에듭니다 롱타임에 흑백영화... 하지만 전혀 지루하지않다는거서프라이즈 새끼들은 당장 스필버그 감독에게 무릎꿇고 사죄해야한다쉰들러가 노동자를 써먹기 위해서 유대인들을 살려낸 거라면왜 7개월 동안 효율성 제로인 공장을 수백만 마르크나 써가면서그들이 아우슈비츠로 가는것을 막았을까...명작은 시간이 얼마나 지났든 볼 때마다 감동과 여운을 준다는 것을 다시 한번 깨닫게 해준 영화. 또한, 흑백영상미와 영화 속 어두운 시대적 배경과의 조화 뿐만 아니라, '인간' 쉰들러의 고뇌와 자책감이...별점 10점 리스트에 드는 것은 당연하다. 쉰들러리스트.최고... 천백명의 목숨을 구하고 예루살렘에 묻혀 있는 오스카쉰들러를 언젠가 한번 찾아가고 싶다.. 살아남은 유대인들에게 경의를 표하며, 역사를 대하는 독일의 태도에 놀라움을 금할 수 없다. 바다 건너 있는 어떤 나...딸만구하러다니는 아빠인줄 알았더니만 1100명의 유대인을 구해주신 쉰들러리스트에서 열연을했다니..리암니슨 더 멋져 보임.가슴이 치며 본 영화.앞으로의 인생의 큰 교훈이 될영화마지막 리암니슨이 대사가 아직도 기억에 남는다... ""차를 팔았더라면 10명은 더 살릴수도있었을텐데""... ""나치배찌를 주면 한명은 살렸을텐데""... 마지막 복받쳐서 쏟아내는 눈물은 유...일본ㅅㄲ들이 이걸보고 반성해야된다"
아이 캔 스피크,"관람객 군함도랑 너무 비교되는 수작...관람객 많이 봤으면 하는 영화!!!2017 년 추석극장가의 승자로 예상합니다. 무엇보다 가족과 보기에 이만한 영화가 없어요관람객 조조로 보고 왔는데 진짜 초반에는 계속 웃다가 후반에는 계속 울었어요. 일본이 뻔뻔하게 나온 부분에서는 진짜 화나고 진짜 온갖 감정을 다 느낀 거 같아요. 나문희님이랑 이제훈 배우 연기합 진짜 좋았고 내용도 좋았어...웃다가 눈물 쏙 빼는영화. 두 배우분들의 케미부터 전반적으로 안정감있는 웰메이드영화입니다관람객 이거 보실분들 입소문이 괜히 난게 아닙니다!! 와.. 진짜 보길 잘했다는 생각이 들었어요. 배우분들 연기도 좋았고, 내용도 좋았습니다!..말이 필요없다....시사회로 보고 왔습니다. 보고 나오자마자 부모님 모시고 또 봐야겠다는 생각이 바로 들게 한 영화 였네요.이런 영화가 천만 가야죠~~집가서 거침없이하이킥 보고 맘 정화좀 해야지가로수 그늘 아래 서면..."
동주,돈이 되는 영화가 아니면 모두 다 이렇게 푸대접인가. 강동원 춤추는걸 꼭 천만이 봐야겠어? 나라가 없으면 영화도 없는거야.왜 흑백일까 했는데 꼭 흑백이어야만 했다. 어둠 속에서 밝게 빛나던 한 점의 촛불처럼 동주 또한 어두웠던 시대에 밝게 빛나던 한 점의 촛불이었다.죽는날 까지 우러러 한 점 부끄럼없길 잎새에 이는 바람에도 나는 괴로워했다시사회에서 보고 왔는데 우리 대한민국 사람들이라면 다 봤음 좋겟단 생각을 하게된 영화였습니다. 영화관이 적다고 하지만 찾아볼 만한 가치 있는 영화입니다.학교에서 윤동주의 시를 배울때 투덜대던 모습이 한없이 부끄러워집니다.시대의 아픔을 간직한 사나이 '윤동주'마지막 대사 한줄이 눈물을 터뜨린 영화.관람객 별 100개를 줘도 모자랍니다. 관객들 전부 눈물바다 되서 나왔어요. 마지막에 연표 보면서 멈추지도 않고 눈물 흘렸어요.제발 상영관쫌 늘려주세요 좋은건 나눠야지감사하다. 그들이 있었기에 지금 현재 우리가 존재하니까
안녕 베일리,"헨리야... 울다 뿜을뻔 했다..베일리, 베일리, 베일리!진짜 최고였습니다.1보단 2는항상덜할꺼라 생각했는데..또다른매력과감동이였어요ㅠ머리로보는영화가아니라 가슴으로느껴야하는영화입니다 강아지와 함께하는모든보호자들의 염원소망마지막엔딩컷은잊을수가없을꺼같습니다 집에있는 아픈 우리...마음이 따뜻해지는 영화. 그치만 영화보고 충동적으로 들이는 사람이 없기를 .. 영화는 영화일뿐관람객 따듯하고 가슴 뭉클한 영화였습니다. 이든과 베일리가 교감하는 장면 되게 감동적이었어요.햇빛처럼 따스하게 비춰주는 그런 영화라고 생각해요. 좋았습니다 :) ♡얼마전에 떠나보낸 강아지들 생각나서 슬퍼질까봐 안보려다가 평이 좋은 것 같아서 보았다. 오히려 힐링되서 돌아옴. 강아지들 사랑스럽고 헨리는 의외로 연기 잘해서 놀랐다. 갈수록 자극적인 영화에 질려가던 중 발견한 내 ...어쩜 이렇게 스토리를 잘 만드는지ㅠㅠ마음이 정말 따뜻해지는 영화베일리가 내 인생에도 나타나주길.이든의 부탁을 어떻게든 들여주려는 베일리, 몰리, 빅독 그리고 맥스의 여정이 너무 인상깊다헨리가 나온다기에 보러 친구랑 갔는데책한권 , 따뜻한 드라마 한편 본 좋은 느낌이다재미있었다헨리가 연기도 잘해서 , 차지작도 기대해본다감동적이네요 재미있고 보기 편해요 착한 주인공들 삶의 여정이 성공만을 달리지는 않습니다 힘든 와중에도 주인공을 지켜주는 베일리가 있기에 마음이 찡합니다 이든은 정말 최고에요 착해보이는 씨제이와 헨리의 연기도 괜찮습니...댕댕이들 연기 좋고~헨리 연기 자연스럽더라~ 강아지들 좋아하시는 분들이라면 보길 바라요~ 감동입니다"
클레멘타인,"이 영화를 보고 암이 나았습니다.이것은절대1점이아니다11점을주고싶은 내마음이다모니터도 울고 외장하드도 울고 숨어있던 바이러스도 울었다당신이 이 영화를 보지 않았다면 아직 살아있을 이유 하나를 간직하고 있는 것이다.영화계엔 BC와 AC가 있다. Before Clementain, After Clementain...남친 집에서 클레멘타인 DVD를 발견했고, 결혼을 결심했습니다.드디어 보았네요. 나이 40대 중반에 이런 감동을 느낄 수 있음에 스스로도 대견한 생각이 듭니다. 먼 훗날 제 아이들도 이 영화를 보고 저와 같은 감동을 느끼길 바라는 건 그저 바램이겠지요?평점깍아내리는 낚시글 몇개있는데 제발그만해라 이기적인새끼들아좋은건 나누는거다장난으로 쓰지마라... 본인은 2004년에 실제로 극장에서 이 영화를 봤다프로포즈 선물로 다이아반지 대신 클레멘타인 파일을 USB에담아 목걸이로 만들어 그녀 목에 걸어주었다. 눈물로 대신 대답한 그녀...그리고 2세이름은 그녀의 의견을 반영해 이동준과 스티븐시갈의 이름을 딴 이동갈로 지을..."
여인의 향기,"평점을 매기는것 자체가 무의미하다.여자랑 춤추는 영환줄 알고 안본 내가 한심스럽다영화를 좋아한다면서 이영화를 안본사람은 모순된인간 이다.내용의 깊이,교훈,대사,게다가 감독의 디테일까지..대단한 작품이다.헐리우드 마저도 이상이 무관임에 유감이다라 표할정도였으니.그리고알 파치노는 명배우가 아니다 눈...살아야하는이유와 앞으로어떻게살아야하는지 생각해보게된 영화슬레이드 중령 : 후아~!난이제 어디로가야하지 ? 스텝이 엉키는게 탱고에요... 인생이란 단어를 한마디로 얘기하는듯한 대사 .. 알파치노의 맹인연기는 정말 일품, 탱고씬은 두말할것 없이 감동오랜만에 탱고장면을 봤다. 감동은 여전하다.알파치노 너무 잘생겼다. 영화는 수작이다.덤덤하게 보다가 중후반부부터 눈물이 터져나왔다... 알파치노는 정말 명불허전이었다..서로에게 인생교사가 되어주는 두사람의 여정"
서유기 2 - 선리기연,"난 개인적 으로 손오공 머리에 금고아가 조여올때 자하선사를 놓치면서 고통스러워하는 모습이 제일 애잔했다 ㅠㅠ어릴때 아무생각업이 본거랑 이제 커서 대가리좀 컸다고 다시 본거랑 차이가 너무너무 크다. 이런 명작이 또 어디있을까..비디오로 처음봤던 10대때 - 오,재밌네 //// 20대때 - 가슴 한켠이 아련해짐 //// 현재30대 - 흐르는 눈물을 주체할수없음 //// 40대 - 세상만사 다 겪어봤을 불혹인 그때쯤엔 어떻게 받아들여질지......전 과거에 사랑을 앞에 두고 아끼지 못하고 잃은 후에 큰 후회를 했습니다 인간사에서 가장 고통스러운 일이 후회하는 것입니다 하늘에서 다시 기회를 준다면 그녀에게 사랑한다고 말하겠소 만약 기한을 정해야 한다면 만년으로...가벼워보이면서도 꽉 찬 이런 영화 만드는게 불가능에 가깝지배꼽빠지게 웃기고..지독히 슬프고...이 영화 너무 매력적이다.이 영화가 내가 살아오면서 본 많은 영화들중에 최고라고 하면 사람들이 비웃지 않을까 걱정했다...근데 나는 이 영화가 정말 최고였다.금고아가 결국 후회 였구나 . 누구나 다 가지고 있는거였군.난. 본 영화 또 안보는데 이 영화는 계속 본다.한마디로 요약하자면 . 이건 가벼움으로 포장한 코믹장르다. 하지만 가벼운 영화중 이렇게 많은 뜻을 담아낸 영화는 결코없다. 라고 단언한다."
아이즈 온 미 : 더 무비,"주연 배우분들이 너무 예쁘고 멋있어요아이즈원의 첫번째 콘서트, 첫번째 영화이영화는 대박이다. 마치 내가 콘서트에 직접 있는것 같은 느낌을 받았다. 콘서트의 생동감을 느낄수있다.나도 보고싶다 왜 우리동네 CGV에서는 안하는건지ㅠㅠ이제 빨리 개봉 할 일만 남았나ㅠ아이즈원의 감동 실화 그 자체보고싶어여 은비 꾸라 혜원 예나 채원 민주 토미 나코 유리 원영 유진 채연"
굿 윌 헌팅,"네 잘못이 아니야.주인공 친구 놈이 가장 멋졌음밴 애플렉이 내 생애 최고의 날이 언제인줄아냐는 대화에서 정말 짠했음한 사람의 인생에 ""니 잘못이 아니야""라고 상처를 안아주는 선생님, ""내 인생 최고의 날이 언제인줄 아냐""는 친구놈과 열지못하는 마음 앞에 ""사랑한다""고 먼저 말해줄 수 있...충고보다는 위로가 필요할때요즘은 좀처럼 찾아보기 힘든 좋은영화인생 최고의 영화에요 덕분에 공부에 재미와 동기가 생겼었구요 다시보니 멧 데이먼의 풋풋함에 설레네요남부 보스턴 특유의 분위기가 너무나도 예술적으로 표현해냈다, 엘리엇 스미스를 있게 해준 영화.연출,각본,연기 등 이렇게나 완벽한 영화는 드물다.정말 가치가있는영화다.그리고 이걸 이해할수있는 사람만 보길 권장한다. 감동이있다.이런걸떠나서 정말 사람의본성과 오만함등을 스토리에넣어 좋은꺠달음과 재미를주었다 진짜 꼭봐야할영화중 하나다천재적인 재능도 물론 좋겠지만 숀같은 인생의 멘토가 있다면 ㅠㅠ...암튼 배우들의 연기가 훌륭했음!"
미스 슬로운,"이런 양질의 영화를 울산에선 전 극장 통틀어 오후 4시에 딱1번 상영한다 . 좋은 영화를 선택할수 없는 관객....한국 극장가는 정말 문제다진짜 간만에 극장에서 재밋는 영화봤음. 맨날 남자들만 득실거리고 이제 놀랍지도 않은 비리폭로, 조직, 깡패들 스토리에 질린 사람들에게 추천함나 왠만하면 평점 안남긴다..귀찮아서..근데 이건 보아야됌..정말 꿀잼이여..꿀잼..ㅎㅎ기대 안하고 봤다가 인생영화 됨슬로운처럼 살아보고 싶다아 오랜만에 정말 좋은 영화 봤다.. 끝나고 여운이남아 계속 자리에 앉아있음..관람객 인생영화. 여운최고. 제시카연기믿고보는영화정상을 가는듯한 빠른호흡의 전개. 영화의 집중도를 여주에게 잘 줌으로써 매력을 한층 끌어올리는듯 하다. 결국 녹아버리는 차가운 얼음꽃을 보는듯한 느낌.한국 평론가들은 제일 한심하고 쓸모없는거같다... 지들이 뭔데 평가해? 지들 작품도없으면서 업적도없으면서.... 가장 쓸모없는인간들인듯긴장감 쩔고 마지막 전개도 너무 맘에 드네요, 제시카 차스테인 연기도 대박 ㄷㄷ"
굿바이 마이 프랜드,"마지막에 운동화씬..울엇음 ㅠㅠㅠㅠㅠ어린이던 어른이던 누구든지 살면서 한번은 봐야할 영화.. 정말 여운이 오래도록 남을거 같네요 진짜 최고입니다,.마지막 신발 떠나보낼 때 그 장면을 보는 심정이란...진정한 우정이란 바로 이런 것이다...굿바이 마이 프렌드 라는영화는 나를울리게하는 영화이면서 내기억에 평생남을것 같은영화덱스터의 엄마가 에릭의 엄마에게 한 말의 감동 또한 저를 울리네요.에이즈보다 힘든 병은 외로움이다. 에릭은 잘 지내고 있을까..진짜 마지막 장면 대박이다 운동화...살면서 저런친구 한명만 있어도 그건 정말 큰복이다 이런게 진짜 영화다죽을때까지 이런친구 한명만있어도 그인생은 성공적으로 산것이다.난 그 어떠한 남녀간의 사랑보다 이런 아련한 우정이 좋다... 진짜 슬프고 아름답다"
트루먼 쇼,"감동적인걸 떠나서 무섭기까지했던 영화다트루먼이 모든 난관을 이기고 '현실'로 가는 문을 열때까지 숨죽이다 환호하는 전 세계시청자들. 그러나 끝나는 순간 '다른덴 뭐하지?'하며 채널을 돌리는 마지막 장면이 가장 충격적. 목숨을...초4때 이거보구 막 주변두리번 거리고 엄마도 의심했었음ㅋㅋㅋㅋ혹시 내 인생도 트루먼쇼 같이 가짜아닐까...지금장난해? 이영화평이 9.28? 진짜 더줘도모자랄 판이다. 진짜파격적인설정에맨마지막에트루먼쇼가끝나자바로채널을돌리는사람들의모습에소름. 깨알같이메시지가담긴 영화이다.이 명작에 1점 주는 놈들은 뭘까.....굿에프터눈 굿이브닝 굿나잇~이게 98년도 영화라니 믿기지가 않네ㅋ내 생각에는 제일 불쌍한 사람은 트루먼이 아니라 주변의 엑스트라 인거같음. 트루먼은 자기가 진짜 인생을 사는줄 알고 살지만, 트루먼과 몇OO을 보고 지낸 부모, 친구는 자기가 가짜 인생을 산다는것을 알고 일생을 연기...내인생도 어디 문열고 나가면 열리는곳 없을지"
다시 태어나도 우리,"관람객 제가 볼땐 스승님께서 진정 부처님이신것 같군요.마음이 따뜻해지는 영화입니다. 우르갼 스님의 허~하는 웃음, 티베트로 가는 여정동안 앙뚜의 성장하는 모습 인상깊어요.이런 다큐를 어떻게 찍으셨는지~ 우르갼 스님 집으로 잘돌아가셨는지 궁금하네요ㅜㅠ관람객 세상 행복하고 맑은 웃음으로 눈싸움을 하는 노승과 린포체를 보면서 만감이 교차했습니다. 세월이 흘러 린포체와 노승이 다시 함께하기를 기도하겠습니다. 좋은 영화 감사합니다.기사보니 8년인가 9년동안 제작하셨다고 하는데 그 고생이 한눈에 보이는 영화... ㅜㅜ 하지만 너무 아름다운 영화였어요 힐링이 필요한 분들 꼭 보세요 저는 친구둘과 한번더 보렵니다보석같은 영화! 이 영화를 어떻케 찍었는지 불가사의!신비한 설경은 덤! 깊은생각에 잠겨들게하는 그러나 너무나 따듯한 영화! 올해 본 영화 수십편중의 단연 최고!관람객 끝까지 믿어주고, 함께 해주며, 네 길을 찾았을땐 그 길을 가도록 ""자신을 믿으세요""라는 노승과 ""린포체님이 어른이 되어 훌륭한 승려가 되면 저는 아이가 되겠죠""란 말에 ""그땐 ...관람객 열번을 봐도 감동적인 영화일것 같습니다꼭 보세요아름답고 감동있는 동행관람객 멋진영상에 잔잔한음악까지, 그리고 티베트 승려의 모습을 볼 수 있어서 좋았습니다.어린 나이에 많은 어려움들을 직면하면서도 잘 이겨나가는 모습이 짠했고, 스승과의 특별한 우정의 모습이 너무 보기 좋았습니다 ㅠ관람객 스승님이 나이가들어 아이같아지면 그땐 자기가 돌보겠다며 ""생각만해도 행복하네요""라고 말하는 앙뚜의 말이 너무나 아름다웠어요너무 아름다운 이야기입니다.앙뚜와 스승님의 모습이 아직도 아른거리네요두세번 보아도 아깝지 않은 영상까지올해 최고의 작품입니다"
반지의 제왕: 두 개의 탑,아라곤 이 지렷지 레골라스랑;모든 판타지작품이 나올때마다 '반지의 제왕을 뛰어넘는' 이란 타이틀이 붙곤하는데 개인적으로 불가능한 일이라고 생각한다.최고다 최고! 진짜 대작이면서 명작인 영화. 헬름협곡 전투씬 하나하나 입이 떡 벌어졌다. 왜 난 이영화를 영화관의 큰 화면으로 보지않았나.솔직히 아바타는 이영화에 비해선 거품이다아라곤 진짜 좋다난 정말 반지의제왕 보면서 눈물을 흘렸다 간달프하고 에오메르가 군대이끌고와서 언덕에서 내려올때 전율이 돋으면서 눈물흘림워... 명작...일년에 최소 1번씩 본다. 이영화에 본질을 알면 헤어나올수가 없다.최고아라곤 정말 쩌는듯 액션과 스케일 모두 대박 마지막 전투는 정말 대광경임 정말하하나부터 열꺼자 완벽한영화배우들진짜캐스팅 잘한듯..반지의제왕하고 호빗본 이후로는 다른 판타지영화 진짜눈에 안들어옴ㅜ
주토피아,네.. 닉한테 반했어요 아니 무슨내가 영화에나오는 캐릭터한테 설레냐ㅠㅜㅠ 여우가 진심 너무멋있었습니다 그외에도 캐릭터들이 하나같이귀여웠고 진심 다시봐도재밌을것같은영화에요 너무재밌게봤고 많이추천할게요 정말 후회하지않...관람객 단언컨대 2016년 상반기 영화 최고의 버디 플레이는 강동원과 황정민이 아닌 주디와 닉.하 ..나무늘보 졸 귀엽네 ㅋㅋ유치한 애니메이션 영화처럼 보인다고 묻히기엔 너무 아쉬운 영화. 겁나 재밌는데?!관람객 선입견을 날려버리고 불가능을 가능으로 만드는 애니메이션한편으로는 추격전이다 보니 너무 많은걸 보여주기에는 아쉬운 짧은 러닝타임이젠 하다하다 여우한테 반하냐... 미치겠네..겉모습으로 능력을 판단하지 마라관람객 너무너무 재밌네요..2편도 꼭 나왔음 좋겠어요.주디가 너무 귀여워요 ㅎㅎ토끼와 여우의 케미가 이렇게나 좋을 줄은.. 주디에 비해 닉은 좀 묻히는 감이 있지만 상상력의 끝판왕 리치 무어답게 여러 동물들이 어떻게 적응하고 살아가는지를 설득력있게 보여줘서 좋았습니다. 색감이나 캐릭터 디자인도...
지상의 별처럼,"평론가들은 머리로만 영화를 봐서 기계적으로 해석한 점수를 주는 듯. 맘을 열고 영화를 즐기지 못할테니 안타깝다아미르칸 최고아미르칸의 영화는 최고다. 가장 인상적인 장면은 이샨이 학교 안가고 나들이 다니는 장면,,,,모든게 새롭게 보이는 아름다운 세상...아름답다저번주부터 기말고사 끝나고 사회선생님이 틀어주신 영화네요. 이샨이 기숙사가 있는 학교로 가는 그 장면이 인상깊었습니다. 또 이샨을 위해서 걱정해주는 영화속의 미술선생님이 현실에도 있다면 좋을텐데요.이런게 진짜 명작임 교육부에게 보여줘야할거같은 그런영화머리가 아닌 가슴으로 보는 영화지상의 모든 교사들이 보아야 할 영화...아름답고 감동적...그 어떤분야의 지도자라면 꼭 봐야할 영화이런 영화가 우리 영화에 본받을 점이고, ""지상의 별처럼""같은 영화가 많았으면 좋겠다."
세 얼간이,"한번보면 또 보고 싶은 영화교훈도 있고 웃음도 있고 정말 잘 만든 영화나진짜여태까지본영화중에이게최고인듯!!말이필요없음!!내가학생이라공감한다는이런게아니고정말로영화자체가너무좋고여러교훈도주면서내용도입이찢어지도록재밌다!!!다필요없고그냥짱짱!!!!!!!!!!!35살의 나이에 심장을 따라 회사를 그만두고 새로 시작하고 있다.. 알이즈웰꿈을 향해 나아갈때의 한번쯤 생각이 나는 영화최고!!!! 노래가 너무 많이 나오긴 하지만 그게 또 매력이 될 수 있는 거 같다 정말 재미있고 느끼는 교훈도 많이 얻을 수 있는 최고의 영화!!!어휴 방송사 십선비들 강간드립나오는 연설장면은 쏙 빼먹네. 이래서 영화를 다운받아 보게 되는거다.상당히 잘 짜여진 영화. 인도영화임에도 불구하고 한국정서에 상당히 잘맞는 영화다. 인도 또한 개발도상국 으로써 한국과 비슷한 경제성장을 이뤘겠지. 그렇기에 교육, 사회, 인간 면에서 어색하지않았다. 보는내내 에미넴이...현실성은 부족하나 부족함 속에 담긴 진실된 뜻은 너무나 컷다. 많은 생각을 하게해준 영화좋기만 하구만 평점 까고 날리야"
모노노케 히메,"다신없을 최고의 애니라고 표현함에 부족함이 없다. 평점보니 생각짧은 어린애들이 뭐라도 아는척 써놨던데 이해를 못하면 보지를 말기를.. 취향문제를 떠나서 영화를 보는 기본 소양이 부족한걸 자랑하지 말란말이지산 존나 이쁨웬만한 만화들이 이길 클래스가 아니다평가를 한다는 것 자체가.. 경솔한 작품죽기전에 이런 大家의 작품을 감상했다는 사실만으로도 행복합니다.인간과 자연의 공존에 대한 아름다운, 잔혹한 이야기.평가 자체가 오만인 미야자키하야오 최고의 명작배경음 너무 좋다... 인간과 자연의 갈등구도도 잘 얽혀있고내가 본것중에 가장 뜻깊은 작품중학교 시절에 봤었는데 세월이 지난 지금 다시 봐도 여전한 울림과 감동이 있는 수작입니다. 그때는 잘 이해가 안 됐던 내용들이 지금 보니 그때 보다는 이해가 됩니다. 자연과 인간의 대립과 화해의 문제는 지금 이순간에..."
